dataset,div_conq,sw_size,strategy_param,dataset_length
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,0,10,2,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,0,10,3,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,1,1,0,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,1,1,1,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,1,1,2,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,1,1,3,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,1,5,0,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,1,5,1,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,1,5,2,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,1,5,3,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,1,10,0,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,1,10,1,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,1,10,2,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,1,10,3,20
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,0,1,0,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,0,1,1,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,0,1,2,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,0,1,3,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,0,5,0,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,0,5,1,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,0,5,2,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,0,5,3,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,0,10,0,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,0,10,1,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,0,10,2,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,0,10,3,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,1,1,0,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,1,1,1,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,1,1,2,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,1,1,3,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,1,5,0,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,1,5,1,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,1,5,2,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,1,5,3,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,1,10,0,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,1,10,1,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,1,10,2,19
data/ARG/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf.pl,1,10,3,19
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,0,1,0,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,0,1,1,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,0,1,2,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,0,1,3,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,0,5,0,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,0,5,1,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,0,5,2,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,0,5,3,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,0,10,0,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,0,10,1,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,0,10,2,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,0,10,3,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,1,1,0,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,1,1,1,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,1,1,2,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,1,1,3,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,1,5,0,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,1,5,1,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,1,5,2,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,1,5,3,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,1,10,0,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,1,10,1,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,1,10,2,15
data/ARG/B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf.pl,1,10,3,15
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,0,1,0,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,0,1,1,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,0,1,2,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,0,1,3,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,0,5,0,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,0,5,1,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,0,5,2,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,0,5,3,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,0,10,0,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,0,10,1,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,0,10,2,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,0,10,3,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,1,1,0,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,1,1,1,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,1,1,2,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,1,1,3,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,1,5,0,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,1,5,1,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,1,5,2,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,1,5,3,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,1,10,0,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,1,10,1,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,1,10,2,29
data/ARG/C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf.pl,1,10,3,29
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,0,1,0,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,0,1,1,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,0,1,2,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,0,1,3,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,0,5,0,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,0,5,1,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,0,5,2,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,0,5,3,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,0,10,0,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,0,10,1,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,0,10,2,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,0,10,3,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,1,1,0,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,1,1,1,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,1,1,2,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,1,1,3,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,1,5,0,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,1,5,1,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,1,5,2,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,1,5,3,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,1,10,0,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,1,10,1,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,1,10,2,27
data/ARG/C-1-bluestar-or-us.gml.20.tgf.pl,1,10,3,27
data/ARG/Small-result-b10.tgf.pl,0,1,0,7
data/ARG/Small-result-b10.tgf.pl,0,1,1,7
data/ARG/Small-result-b10.tgf.pl,0,1,2,7
data/ARG/Small-result-b10.tgf.pl,0,1,3,7
data/ARG/Small-result-b10.tgf.pl,0,5,0,7
data/ARG/Small-result-b10.tgf.pl,0,5,1,7
data/ARG/Small-result-b10.tgf.pl,0,5,2,7
data/ARG/Small-result-b10.tgf.pl,0,5,3,7
data/ARG/Small-result-b10.tgf.pl,1,1,0,7
data/ARG/Small-result-b10.tgf.pl,1,1,1,7
data/ARG/Small-result-b10.tgf.pl,1,1,2,7
data/ARG/Small-result-b10.tgf.pl,1,1,3,7
data/ARG/Small-result-b10.tgf.pl,1,5,0,7
data/ARG/Small-result-b10.tgf.pl,1,5,1,7
data/ARG/Small-result-b10.tgf.pl,1,5,2,7
data/ARG/Small-result-b10.tgf.pl,1,5,3,7
data/ARG/Small-result-b11.tgf.pl,0,1,0,20
data/ARG/Small-result-b11.tgf.pl,0,1,1,20
data/ARG/Small-result-b11.tgf.pl,0,1,2,20
data/ARG/Small-result-b11.tgf.pl,0,1,3,20
data/ARG/Small-result-b11.tgf.pl,0,5,0,20
data/ARG/Small-result-b11.tgf.pl,0,5,1,20
data/ARG/Small-result-b11.tgf.pl,0,5,2,20
data/ARG/Small-result-b11.tgf.pl,0,5,3,20
data/ARG/Small-result-b11.tgf.pl,0,10,0,20
data/ARG/Small-result-b11.tgf.pl,0,10,1,20
data/ARG/Small-result-b11.tgf.pl,0,10,2,20
data/ARG/Small-result-b11.tgf.pl,0,10,3,20
data/ARG/Small-result-b11.tgf.pl,1,1,0,20
data/ARG/Small-result-b11.tgf.pl,1,1,1,20
data/ARG/Small-result-b11.tgf.pl,1,1,2,20
data/ARG/Small-result-b11.tgf.pl,1,1,3,20
data/ARG/Small-result-b11.tgf.pl,1,5,0,20
data/ARG/Small-result-b11.tgf.pl,1,5,1,20
data/ARG/Small-result-b11.tgf.pl,1,5,2,20
data/ARG/Small-result-b11.tgf.pl,1,5,3,20
data/ARG/Small-result-b11.tgf.pl,1,10,0,20
data/ARG/Small-result-b11.tgf.pl,1,10,1,20
data/ARG/Small-result-b11.tgf.pl,1,10,2,20
data/ARG/Small-result-b11.tgf.pl,1,10,3,20
data/ARG/Small-result-b13.tgf.pl,0,1,0,8
data/ARG/Small-result-b13.tgf.pl,0,1,1,8
data/ARG/Small-result-b13.tgf.pl,0,1,2,8
data/ARG/Small-result-b13.tgf.pl,0,1,3,8
data/ARG/Small-result-b13.tgf.pl,0,5,0,8
data/ARG/Small-result-b13.tgf.pl,0,5,1,8
data/ARG/Small-result-b13.tgf.pl,0,5,2,8
data/ARG/Small-result-b13.tgf.pl,0,5,3,8
data/ARG/Small-result-b13.tgf.pl,1,1,0,8
data/ARG/Small-result-b13.tgf.pl,1,1,1,8
data/ARG/Small-result-b13.tgf.pl,1,1,2,8
data/ARG/Small-result-b13.tgf.pl,1,1,3,8
data/ARG/Small-result-b13.tgf.pl,1,5,0,8
data/ARG/Small-result-b13.tgf.pl,1,5,1,8
data/ARG/Small-result-b13.tgf.pl,1,5,2,8
data/ARG/Small-result-b13.tgf.pl,1,5,3,8
data/ARG/Small-result-b14.tgf.pl,0,1,0,19
data/ARG/Small-result-b14.tgf.pl,0,1,1,19
data/ARG/Small-result-b14.tgf.pl,0,1,2,19
data/ARG/Small-result-b14.tgf.pl,0,1,3,19
data/ARG/Small-result-b14.tgf.pl,0,5,0,19
data/ARG/Small-result-b14.tgf.pl,0,5,1,19
data/ARG/Small-result-b14.tgf.pl,0,5,2,19
data/ARG/Small-result-b14.tgf.pl,0,5,3,19
data/ARG/Small-result-b14.tgf.pl,0,10,0,19
data/ARG/Small-result-b14.tgf.pl,0,10,1,19
data/ARG/Small-result-b14.tgf.pl,0,10,2,19
data/ARG/Small-result-b14.tgf.pl,0,10,3,19
data/ARG/Small-result-b14.tgf.pl,1,1,0,19
data/ARG/Small-result-b14.tgf.pl,1,1,1,19
data/ARG/Small-result-b14.tgf.pl,1,1,2,19
data/ARG/Small-result-b14.tgf.pl,1,1,3,19
data/ARG/Small-result-b14.tgf.pl,1,5,0,19
data/ARG/Small-result-b14.tgf.pl,1,5,1,19
data/ARG/Small-result-b14.tgf.pl,1,5,2,19
data/ARG/Small-result-b14.tgf.pl,1,5,3,19
data/ARG/Small-result-b14.tgf.pl,1,10,0,19
data/ARG/Small-result-b14.tgf.pl,1,10,1,19
data/ARG/Small-result-b14.tgf.pl,1,10,2,19
data/ARG/Small-result-b14.tgf.pl,1,10,3,19
data/ARG/Small-result-b16.tgf.pl,0,1,0,7
data/ARG/Small-result-b16.tgf.pl,0,1,1,7
data/ARG/Small-result-b16.tgf.pl,0,1,2,7
data/ARG/Small-result-b16.tgf.pl,0,1,3,7
data/ARG/Small-result-b16.tgf.pl,0,5,0,7
data/ARG/Small-result-b16.tgf.pl,0,5,1,7
data/ARG/Small-result-b16.tgf.pl,0,5,2,7
data/ARG/Small-result-b16.tgf.pl,0,5,3,7
data/ARG/Small-result-b16.tgf.pl,1,1,0,7
data/ARG/Small-result-b16.tgf.pl,1,1,1,7
data/ARG/Small-result-b16.tgf.pl,1,1,2,7
data/ARG/Small-result-b16.tgf.pl,1,1,3,7
data/ARG/Small-result-b16.tgf.pl,1,5,0,7
data/ARG/Small-result-b16.tgf.pl,1,5,1,7
data/ARG/Small-result-b16.tgf.pl,1,5,2,7
data/ARG/Small-result-b16.tgf.pl,1,5,3,7
data/ARG/Small-result-b17.tgf.pl,0,1,0,16
data/ARG/Small-result-b17.tgf.pl,0,1,1,16
data/ARG/Small-result-b17.tgf.pl,0,1,2,16
data/ARG/Small-result-b17.tgf.pl,0,1,3,16
data/ARG/Small-result-b17.tgf.pl,0,5,0,16
data/ARG/Small-result-b17.tgf.pl,0,5,1,16
data/ARG/Small-result-b17.tgf.pl,0,5,2,16
data/ARG/Small-result-b17.tgf.pl,0,5,3,16
data/ARG/Small-result-b17.tgf.pl,0,10,0,16
data/ARG/Small-result-b17.tgf.pl,0,10,1,16
data/ARG/Small-result-b17.tgf.pl,0,10,2,16
data/ARG/Small-result-b17.tgf.pl,0,10,3,16
data/ARG/Small-result-b17.tgf.pl,1,1,0,16
data/ARG/Small-result-b17.tgf.pl,1,1,1,16
data/ARG/Small-result-b17.tgf.pl,1,1,2,16
data/ARG/Small-result-b17.tgf.pl,1,1,3,16
data/ARG/Small-result-b17.tgf.pl,1,5,0,16
data/ARG/Small-result-b17.tgf.pl,1,5,1,16
data/ARG/Small-result-b17.tgf.pl,1,5,2,16
data/ARG/Small-result-b17.tgf.pl,1,5,3,16
data/ARG/Small-result-b17.tgf.pl,1,10,0,16
data/ARG/Small-result-b17.tgf.pl,1,10,1,16
data/ARG/Small-result-b17.tgf.pl,1,10,2,16
data/ARG/Small-result-b17.tgf.pl,1,10,3,16
data/ARG/Small-result-b19.tgf.pl,0,1,0,12
data/ARG/Small-result-b19.tgf.pl,0,1,1,12
data/ARG/Small-result-b19.tgf.pl,0,1,2,12
data/ARG/Small-result-b19.tgf.pl,0,1,3,12
data/ARG/Small-result-b19.tgf.pl,0,5,0,12
data/ARG/Small-result-b19.tgf.pl,0,5,1,12
data/ARG/Small-result-b19.tgf.pl,0,5,2,12
data/ARG/Small-result-b19.tgf.pl,0,5,3,12
data/ARG/Small-result-b19.tgf.pl,0,10,0,12
data/ARG/Small-result-b19.tgf.pl,0,10,1,12
data/ARG/Small-result-b19.tgf.pl,0,10,2,12
data/ARG/Small-result-b19.tgf.pl,0,10,3,12
data/ARG/Small-result-b19.tgf.pl,1,1,0,12
data/ARG/Small-result-b19.tgf.pl,1,1,1,12
data/ARG/Small-result-b19.tgf.pl,1,1,2,12
data/ARG/Small-result-b19.tgf.pl,1,1,3,12
data/ARG/Small-result-b19.tgf.pl,1,5,0,12
data/ARG/Small-result-b19.tgf.pl,1,5,1,12
data/ARG/Small-result-b19.tgf.pl,1,5,2,12
data/ARG/Small-result-b19.tgf.pl,1,5,3,12
data/ARG/Small-result-b19.tgf.pl,1,10,0,12
data/ARG/Small-result-b19.tgf.pl,1,10,1,12
data/ARG/Small-result-b19.tgf.pl,1,10,2,12
data/ARG/Small-result-b19.tgf.pl,1,10,3,12
data/ARG/Small-result-b2.tgf.pl,0,1,0,5
data/ARG/Small-result-b2.tgf.pl,0,1,1,5
data/ARG/Small-result-b2.tgf.pl,0,1,2,5
data/ARG/Small-result-b2.tgf.pl,0,1,3,5
data/ARG/Small-result-b2.tgf.pl,1,1,0,5
data/ARG/Small-result-b2.tgf.pl,1,1,1,5
data/ARG/Small-result-b2.tgf.pl,1,1,2,5
data/ARG/Small-result-b2.tgf.pl,1,1,3,5
data/ARG/Small-result-b20.tgf.pl,0,1,0,26
data/ARG/Small-result-b20.tgf.pl,0,1,1,26
data/ARG/Small-result-b20.tgf.pl,0,1,2,26
data/ARG/Small-result-b20.tgf.pl,0,1,3,26
data/ARG/Small-result-b20.tgf.pl,0,5,0,26
data/ARG/Small-result-b20.tgf.pl,0,5,1,26
data/ARG/Small-result-b20.tgf.pl,0,5,2,26
data/ARG/Small-result-b20.tgf.pl,0,5,3,26
data/ARG/Small-result-b20.tgf.pl,0,10,0,26
data/ARG/Small-result-b20.tgf.pl,0,10,1,26
data/ARG/Small-result-b20.tgf.pl,0,10,2,26
data/ARG/Small-result-b20.tgf.pl,0,10,3,26
data/ARG/Small-result-b20.tgf.pl,1,1,0,26
data/ARG/Small-result-b20.tgf.pl,1,1,1,26
data/ARG/Small-result-b20.tgf.pl,1,1,2,26
data/ARG/Small-result-b20.tgf.pl,1,1,3,26
data/ARG/Small-result-b20.tgf.pl,1,5,0,26
data/ARG/Small-result-b20.tgf.pl,1,5,1,26
data/ARG/Small-result-b20.tgf.pl,1,5,2,26
data/ARG/Small-result-b20.tgf.pl,1,5,3,26
data/ARG/Small-result-b20.tgf.pl,1,10,0,26
data/ARG/Small-result-b20.tgf.pl,1,10,1,26
data/ARG/Small-result-b20.tgf.pl,1,10,2,26
data/ARG/Small-result-b20.tgf.pl,1,10,3,26
data/ARG/Small-result-b21.tgf.pl,0,1,0,27
data/ARG/Small-result-b21.tgf.pl,0,1,1,27
data/ARG/Small-result-b21.tgf.pl,0,1,2,27
data/ARG/Small-result-b21.tgf.pl,0,1,3,27
data/ARG/Small-result-b21.tgf.pl,0,5,0,27
data/ARG/Small-result-b21.tgf.pl,0,5,1,27
data/ARG/Small-result-b21.tgf.pl,0,5,2,27
data/ARG/Small-result-b21.tgf.pl,0,5,3,27
data/ARG/Small-result-b21.tgf.pl,0,10,0,27
data/ARG/Small-result-b21.tgf.pl,0,10,1,27
data/ARG/Small-result-b21.tgf.pl,0,10,2,27
data/ARG/Small-result-b21.tgf.pl,0,10,3,27
data/ARG/Small-result-b21.tgf.pl,1,1,0,27
data/ARG/Small-result-b21.tgf.pl,1,1,1,27
data/ARG/Small-result-b21.tgf.pl,1,1,2,27
data/ARG/Small-result-b21.tgf.pl,1,1,3,27
data/ARG/Small-result-b21.tgf.pl,1,5,0,27
data/ARG/Small-result-b21.tgf.pl,1,5,1,27
data/ARG/Small-result-b21.tgf.pl,1,5,2,27
data/ARG/Small-result-b21.tgf.pl,1,5,3,27
data/ARG/Small-result-b21.tgf.pl,1,10,0,27
data/ARG/Small-result-b21.tgf.pl,1,10,1,27
data/ARG/Small-result-b21.tgf.pl,1,10,2,27
data/ARG/Small-result-b21.tgf.pl,1,10,3,27
data/ARG/Small-result-b29.tgf.pl,0,1,0,18
data/ARG/Small-result-b29.tgf.pl,0,1,1,18
data/ARG/Small-result-b29.tgf.pl,0,1,2,18
data/ARG/Small-result-b29.tgf.pl,0,1,3,18
data/ARG/Small-result-b29.tgf.pl,0,5,0,18
data/ARG/Small-result-b29.tgf.pl,0,5,1,18
data/ARG/Small-result-b29.tgf.pl,0,5,2,18
data/ARG/Small-result-b29.tgf.pl,0,5,3,18
data/ARG/Small-result-b29.tgf.pl,0,10,0,18
data/ARG/Small-result-b29.tgf.pl,0,10,1,18
data/ARG/Small-result-b29.tgf.pl,0,10,2,18
data/ARG/Small-result-b29.tgf.pl,0,10,3,18
